Time,Dollar Value,Product Demo,Digital Coupon,Shelf talk Banner,Price offs,BOGOs,Dollar Sales
 01-05-14,1944585.193,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 01-12-14,1535160.438,no,yes,no,yes,no,Sales < $1.82Mn
 01-19-14,1552581.199,no,no,no,yes,no,Sales < $1.82Mn
 01-26-14,1708767.335,no,no,no,yes,yes,Sales < $1.82Mn
 02-02-14,3024175.041,yes,no,no,no,no,Sales > $2.20Mn
 02-09-14,2000889.228,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 02-16-14,1735274.604,no,no,no,no,no,Sales < $1.82Mn
 02-23-14,1693021.701,no,no,yes,no,no,Sales < $1.82Mn
 03-02-14,1858407.122,no,no,yes,no,no,$1.82Mn < Sales < $2.2Mn
 03-09-14,1826649.059,no,no,yes,no,no,$1.82Mn < Sales < $2.2Mn
 03-16-14,1749628.919,no,no,yes,no,no,Sales < $1.82Mn
 03-23-14,1760816.849,no,no,no,no,no,Sales < $1.82Mn
 03-30-14,1726851.652,no,no,no,no,no,Sales < $1.82Mn
 04-06-14,1855456.518,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 04-13-14,2582887.933,no,no,no,no,yes,Sales > $2.20Mn
 04-20-14,2349852.888,no,no,no,no,no,Sales > $2.20Mn
 04-27-14,1863211.801,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 05-04-14,2051172.343,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 05-11-14,1959417.623,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 05-18-14,1832804.453,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 05-25-14,2684247.021,no,yes,no,yes,no,Sales > $2.20Mn
 06-01-14,1845482.969,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 06-08-14,1888588.581,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 06-15-14,1789274.062,no,no,no,yes,no,Sales < $1.82Mn
 06-22-14,1701148.346,no,no,no,yes,no,Sales < $1.82Mn
 06-29-14,2184003.932,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 07-06-14,2280453.605,no,no,no,no,no,Sales > $2.20Mn
 07-13-14,1907920.768,no,no,no,no,yes,$1.82Mn < Sales < $2.2Mn
 07-20-14,1845662.494,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 07-27-14,2064710.744,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 08-03-14,1782725.309,no,no,no,yes,no,Sales < $1.82Mn
 08-10-14,1725938.902,no,no,no,yes,no,Sales < $1.82Mn
 08-17-14,1890697.071,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-24-14,2155316.094,no,no,no,yes,no,$1.82Mn < Sales < $2.2Mn
 08-31-14,2115319.574,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 09-07-14,1944282.954,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 09-14-14,1874158.008,yes,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 09-21-14,1860354.637,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 09-28-14,1926370.642,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 10-05-14,1982078.044,no,no,no,no,no,$1.82Mn < Sales < $2.2Mn
 10-12-14,1943093.693,no,no,no,no,yes,$1.82Mn < Sales < $2.2Mn
 10-19-14,1810838.73,no,no,no,no,no,Sales < $1.82Mn
 10-26-14,1748788.351,no,no,no,no,no,Sales < $1.82Mn
 11-02-14,1708285.491,no,no,no,yes,no,Sales < $1.82Mn
 11-09-14,1720080.118,no,yes,no,yes,no,Sales < $1.82Mn
 11-16-14,1697143.238,no,no,no,yes,no,Sales < $1.82Mn
 11-23-14,2394472.73,no,no,no,yes,no,Sales > $2.20Mn
 11-30-14,1709717.122,no,no,no,yes,no,Sales < $1.82Mn
