Time,Dollar Sales,Product Demo,Digital Coupon,Shelf talk Banner,Price offs,BOGOs
1/5/2014,1944585.193,no,no,no,yes,no
1/12/2014,1535160.438,no,yes,no,yes,no
1/19/2014,1552581.199,no,no,no,yes,no
1/26/2014,1708767.335,no,no,no,yes,yes
2/2/2014,3024175.041,yes,no,no,no,no
2/9/2014,2000889.228,no,no,no,no,no
2/16/2014,1735274.604,no,no,no,no,no
2/23/2014,1693021.701,no,no,yes,no,no
3/2/2014,1858407.122,no,no,yes,no,no
3/9/2014,1826649.059,no,no,yes,no,no
3/16/2014,1749628.919,no,no,yes,no,no
3/23/2014,1760816.849,no,no,no,no,no
3/30/2014,1726851.652,no,no,no,no,no
4/6/2014,1855456.518,no,no,no,no,no
4/13/2014,2582887.933,no,no,no,no,yes
4/20/2014,2349852.888,no,no,no,no,no
4/27/2014,1863211.801,no,no,no,no,no
5/4/2014,2051172.343,no,no,no,no,no
5/11/2014,1959417.623,no,no,no,yes,no
5/18/2014,1832804.453,no,no,no,yes,no
5/25/2014,2684247.021,no,yes,no,yes,no
6/1/2014,1845482.969,no,no,no,yes,no
6/8/2014,1888588.581,no,no,no,yes,no
6/15/2014,1789274.062,no,no,no,yes,no
6/22/2014,1701148.346,no,no,no,yes,no
6/29/2014,2184003.932,no,no,no,yes,no
7/6/2014,2280453.605,no,no,no,no,no
7/13/2014,1907920.768,no,no,no,no,yes
7/20/2014,1845662.494,no,no,no,no,no
7/27/2014,2064710.744,no,no,no,no,no
8/3/2014,1782725.309,no,no,no,yes,no
8/10/2014,1725938.902,no,no,no,yes,no
8/17/2014,1890697.071,no,no,no,yes,no
8/24/2014,2155316.094,no,no,no,yes,no
8/31/2014,2115319.574,no,no,no,no,no
9/7/2014,1944282.954,no,no,no,no,no
9/14/2014,1874158.008,yes,no,no,no,no
9/21/2014,1860354.637,no,no,no,no,no
9/28/2014,1926370.642,no,no,no,no,no
10/5/2014,1982078.044,no,no,no,no,no
10/12/2014,1943093.693,no,no,no,no,yes
10/19/2014,1810838.73,no,no,no,no,no
10/26/2014,1748788.351,no,no,no,no,no
11/2/2014,1708285.491,no,no,no,yes,no
11/9/2014,1720080.118,no,yes,no,yes,no
11/16/2014,1697143.238,no,no,no,yes,no
11/23/2014,2394472.73,no,no,no,yes,no
11/30/2014,1709717.122,no,no,no,yes,no
12/7/2014,1596706.755,no,no,yes,yes,no
12/14/2014,1930979.162,no,yes,yes,yes,no
12/21/2014,2492226.324,no,no,yes,yes,yes
12/28/2014,1881523.075,no,no,yes,yes,no
1/4/2015,2255490.42,no,no,no,yes,no
1/11/2015,1768371.93,no,yes,no,yes,no
1/18/2015,1817355.569,no,no,no,yes,no
1/25/2015,2044231.784,no,no,no,no,yes
2/1/2015,3317740.234,no,no,no,no,no
2/8/2015,2029297.584,yes,no,no,no,no
2/15/2015,1858944.578,no,no,no,no,no
2/22/2015,1880979.869,no,no,yes,no,no
3/1/2015,2127366.267,no,no,yes,no,no
3/8/2015,1914201.254,no,no,yes,no,no
3/15/2015,1893560.99,no,no,yes,no,no
3/22/2015,1809715.023,no,no,no,no,no
3/29/2015,2299025.137,no,no,no,no,no
4/5/2015,2449908.317,no,no,no,no,no
4/12/2015,1469289.314,no,no,no,no,yes
4/19/2015,1411921.757,no,no,no,no,no
4/26/2015,1808263.24,no,no,no,no,no
5/3/2015,1678309.249,no,no,no,yes,no
5/10/2015,1851963.558,no,no,no,yes,no
5/17/2015,1769762.513,no,no,no,yes,no
5/24/2015,2914365.638,no,yes,no,yes,no
5/31/2015,1890022.403,no,no,no,yes,no
6/7/2015,1840818.59,no,no,no,yes,no
6/14/2015,1806567.534,no,no,no,yes,no
6/21/2015,1819509.861,no,no,no,yes,no
6/28/2015,2015364.175,no,no,no,no,no
7/5/2015,3279139.427,no,no,no,no,no
7/12/2015,1976709.731,no,no,no,no,yes
7/19/2015,1938236.2,no,no,no,no,no
7/26/2015,2034685.968,no,no,no,yes,no
8/2/2015,2054106.948,no,no,no,yes,no
8/9/2015,2020973.282,no,no,no,yes,no
8/16/2015,2006276.117,no,no,no,yes,no
8/23/2015,1929702.518,no,no,no,no,no
8/30/2015,2079516.102,no,no,no,no,no
9/6/2015,2641021.811,yes,no,no,no,no
9/13/2015,2256347.606,no,no,no,no,no
9/20/2015,1896998.675,no,no,no,no,no
9/27/2015,1710457.411,no,no,no,no,no
10/4/2015,1855919.535,no,no,no,no,no
10/11/2015,1855696.64,no,no,no,no,yes
10/18/2015,1684657.321,no,no,no,no,no
10/25/2015,1717387.259,no,no,no,yes,no
11/1/2015,1884102.946,no,no,no,yes,no
11/8/2015,1797323.747,no,yes,no,yes,no
11/15/2015,1843020.263,no,no,no,yes,no
11/22/2015,2308243.859,no,no,no,yes,no
11/29/2015,1616239.605,no,no,no,yes,no
12/6/2015,1587443.655,no,no,yes,yes,no
12/13/2015,1705533.793,no,yes,yes,yes,no
12/20/2015,2589456.708,no,no,yes,no,yes
12/27/2015,2032623.219,no,no,yes,no,no
1/3/2016,2284605.347,no,no,no,yes,no
1/10/2016,2036609.148,no,yes,no,yes,no
1/17/2016,1971962.786,no,no,no,yes,no
1/24/2016,2429145.009,no,no,no,yes,yes
1/31/2016,1958804.182,no,no,no,no,no
2/7/2016,3184953.525,yes,no,no,no,no
2/14/2016,1745529.439,no,no,no,no,no
2/21/2016,1773668.371,no,no,yes,no,no
2/28/2016,1788815.756,no,no,yes,no,no
3/6/2016,1948331.388,no,no,yes,no,no
3/13/2016,2118283.946,no,no,yes,no,no
3/20/2016,2373320.551,no,no,no,no,no
3/27/2016,2506518.348,no,no,no,no,no
4/3/2016,2239104.493,no,no,no,no,no
4/10/2016,1932962.748,no,no,no,no,yes
4/17/2016,1981816.474,no,no,no,no,no
4/24/2016,1859743.778,no,no,no,no,no
5/1/2016,2032883.789,no,no,no,no,no
5/8/2016,2111153.18,no,no,no,yes,no
5/15/2016,2173967.825,no,no,no,yes,no
5/22/2016,2202325.102,no,yes,no,yes,no
5/29/2016,3069028.184,no,no,no,yes,no
6/5/2016,2385744.16,no,no,no,yes,no
